# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1709831483559189 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1709831657997395 1 0 0 1 1 1 0 0 0 0 0 0 3 1 0 0 4 0 0 0 0 0 19427 466 0 0 14859 7731 174388436 13341 0 0 0 133467 0 1.000000 10 10 5120 10240 10 10 0.487179 1 8192 5331 0 0 0 1 8192 5331 0 0 0
1709831663515685 2 0 0 2 2 2 0 0 0 0 0 0 2 2 2 0 4 2 0 0 0 0 41276 491 0 0 152418 7851 179747494 13434 0 0 0 266934 0 1.000000 10 10 5120 10240 10 10 0.491147 2 16384 10007 2 16384 10007 1 8192 5331 0 0 0
1709831669065697 2 0 0 2 2 2 0 0 0 0 0 0 2 2 2 1 5 3 1 0 0 0 50819 342164 0 341596 221838 10956 184804364 14128 5795111 3425200 0 400401 198043 1.000000 10 10 5120 10240 10 10 0.500592 2 16384 10007 2 16384 10007 1 8192 5331 0 0 0
1709831674401438 3 0 0 3 3 3 0 0 0 0 0 0 1 3 3 1 7 6 3 0 0 0 105416 637835 0 637111 337418 11197 189733347 16000 22122121 20667576 0 800802 471494 1.000000 10 10 81920 46760 4 10 0.492501 3 24576 14590 3 24576 14590 1 8192 5331 0 0 0
1709831679532324 3 0 0 3 3 3 0 0 0 0 0 0 1 3 3 1 11 10 7 0 0 0 126615 804180 0 803178 391719 11410 194620969 17248 31015039 28862250 0 1334670 1079048 1.000000 15 15 122880 72950 5 37 0.502066 3 24576 14590 3 24576 14590 1 8192 5331 0 0 0
1709831685702087 3 0 0 3 3 3 0 0 0 0 0 0 1 3 3 1 13 12 9 0 0 0 144596 833731 0 832578 406818 11526 200727379 17835 37103151 33090320 0 1601604 1393875 1.000000 17 17 139264 84665 54 38 0.507521 3 24576 14590 3 24576 14590 1 8192 5331 0 0 0
1709831692250443 3 0 0 3 3 3 0 0 0 0 0 0 1 3 3 1 16 15 12 0 0 0 166536 884388 0 883069 428842 11683 207180113 18662 43525784 41507033 0 2002003 2067079 3.692540 20 20 163840 101519 55 44 0.508437 3 24576 14590 3 24576 14590 1 8192 5331 0 0 0
1709831697729999 4 0 0 4 4 4 0 0 0 0 0 0 0 4 4 0 17 17 13 0 0 0 205341 898866 0 897480 441207 11822 212600864 18916 43525784 43525784 0 2268937 2197493 3.857537 21 21 172032 107041 57 46 0.495168 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709831762052833 5 0 1 4 5 5 0 0 0 0 0 0 0 4 4 0 17 17 13 0 0 0 205351 899002 0 897480 617729 15092 276740836 21639 43525784 43525784 0 2268937 2197493 3.857027 21 21 172032 107419 54 48 0.512815 5 40960 23951 4 32768 18871 1 8192 5331 0 0 0
1709831782011761 7 0 3 4 7 7 0 0 0 0 0 0 0 4 4 0 17 17 13 0 0 0 205354 899076 0 897480 657342 15357 296659164 22087 43525784 43525784 0 2268937 2197493 3.856758 21 21 172032 107419 54 49 0.512820 7 57344 32631 4 32768 18871 1 8192 5331 0 0 0
1709831817820982 8 0 4 4 8 8 0 0 0 0 0 0 0 4 4 0 17 17 13 0 0 0 205363 899158 0 897480 862371 18222 332256562 25717 43525784 43525784 0 2268937 2197493 3.856441 21 21 172032 107419 54 51 0.512821 8 65536 37541 4 32768 18871 1 8192 5331 0 0 0
1709832298079425 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 1 17 17 13 0 0 0 205436 900226 0 897480 866129 42971 812439938 50586 664152203 43525784 0 2268937 2197493 3.852461 21 21 172032 107419 54 54 0.512821 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709832303362452 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 0 18 18 14 0 0 0 205948 1098066 0 1095242 885923 43071 817523450 51443 664152203 664152203 0 2402404 12093534 10.601423 21 21 172032 107419 54 54 0.511601 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709832572520826 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 1 18 18 14 0 0 0 205988 1098784 0 1095242 887326 57117 1086582764 64914 1566988474 664152203 0 2402404 12093534 10.595264 280 280 2293760 1421600 2088 595 0.512821 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709832579027274 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 1 20 20 16 0 0 0 207295 2148451 0 2144714 1024688 57278 1091899050 66573 1571754007 1569509449 0 2669338 22035439 10.001210 449 449 3678208 2267630 808 745 0.510169 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709832587539984 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 0 22 22 18 0 0 0 208211 2698727 0 2694839 1162367 57462 1099790539 67206 1574087568 1574087568 0 2936272 22322734 8.286680 333 333 2727936 1667116 4 640 0.510173 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709833042689005 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 1 22 22 18 0 0 0 208283 2699828 0 2694839 1164791 80082 1554866099 93855 2318399654 1574087568 0 2936272 22322734 8.283338 295 295 2416640 1471460 4 429 0.512821 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709833047976045 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 0 23 23 19 0 0 0 208807 2897931 0 2892838 1184703 82979 1559950583 94596 2318399654 2318399654 0 3069739 32217423 10.832088 411 411 3366912 2041308 2508 494 0.511601 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709833395116539 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 1 23 23 19 0 0 0 208862 2898815 0 2892838 1186502 98537 1907051002 112942 4017784963 2318399654 0 3069739 32217423 10.828815 411 411 3366912 2041308 2508 1029 0.512821 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709833400380006 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 0 24 24 20 0 0 0 209324 3125015 0 3118962 1189060 98638 1912086729 113718 4017784963 4017784963 0 3203206 42092805 12.955384 411 411 3366912 2041308 2508 1174 0.511601 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709833636798608 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 1 24 24 20 0 0 0 209381 3125548 0 3118962 1190183 110090 2148459279 126375 4611596336 4017784963 0 3203206 42092805 12.953092 683 683 5595136 3368830 6992 2492 0.512821 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709833944480218 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 1 25 25 21 0 0 0 209977 3324290 0 3316772 1211414 127829 2455901777 143602 5160698647 4611596336 0 3336673 51895282 14.903599 746 746 6111232 3667159 1999 2685 0.512821 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709833952909156 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 0 27 27 23 0 0 0 210839 3431169 0 3423500 1216851 128012 2464218731 144692 5163911092 5163911092 0 3603607 61863127 17.142725 817 817 6692864 3992605 4191 2698 0.511390 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709834376049089 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 1 27 27 23 0 0 0 210933 3432358 0 3423500 1219053 150997 2887288306 168121 5902861841 5163911092 0 3603607 61863127 17.136688 814 814 6668288 3956501 108 1829 0.512821 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
1709834382723002 4 0 0 4 4 8 4 0 4 0 0 0 0 4 4 0 29 29 25 0 0 0 211868 3669904 0 3660849 1258397 151154 2893702773 169040 5904112493 5904112493 0 3870535 72018002 18.644307 888 888 7274496 4305912 2467 1703 0.510792 4 32768 18871 4 32768 18871 1 8192 5331 0 0 0
