# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1709846929752481 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1709847062807781 1 0 0 1 1 1 0 0 0 0 0 0 7 1 0 0 8 0 0 0 0 0 25746 382 0 0 16375 10481 132987208 15862 0 0 0 133467 0 1.000000 10 10 5120 10240 10 10 0.487179 1 8192 4846 0 0 0 1 8192 4846 0 0 0
1709847072708789 1 0 0 1 1 1 0 0 0 0 0 0 7 1 1 0 11 4 3 0 0 0 48669 102452 0 101829 34352 10743 142749161 17721 4652875 4652875 0 533868 488094 1.000000 24 24 196608 116304 27 12 0.506605 1 8192 4846 1 8192 4846 1 8192 4846 0 0 0
1709847115055684 2 0 0 2 2 2 0 0 0 0 0 0 6 2 1 0 11 4 3 0 0 0 105691 102569 0 101829 63142 14513 184998274 18867 4652875 4652875 0 667335 488094 1.000000 23 23 188416 111458 20 14 0.487162 2 16384 10732 1 8192 4846 1 8192 5886 0 0 0
1709847121313023 6 0 0 6 6 6 0 0 0 0 0 0 2 6 6 1 15 13 7 0 0 0 373276 251619 0 250530 232714 15066 190650370 21781 13453025 11524325 0 1735071 1097928 1.000000 19 19 155648 100339 10 18 0.494304 6 49152 31803 6 49152 31803 1 8192 6012 0 0 0
1709847127022531 7 0 0 7 7 7 0 0 0 0 0 0 1 7 7 1 20 19 12 0 0 0 523632 634809 0 633397 362483 15399 195694094 23856 23333953 21572508 0 2535871 2087332 3.806003 17 17 139264 91663 9 21 0.495794 7 57344 36811 7 57344 36811 1 8192 6012 0 0 0
1709847134650281 7 0 0 7 7 7 0 0 0 0 0 0 1 7 7 0 22 21 14 0 0 0 584864 833730 0 832137 407174 15564 203038191 24596 25521212 25521212 0 2802801 2462163 3.539463 15 15 122880 80842 9 21 0.506384 7 57344 36811 7 57344 36811 1 8192 6012 0 0 0
1709847147409758 8 0 0 8 8 8 0 0 0 0 0 0 0 8 7 0 22 21 14 0 0 0 723005 833805 0 832137 559597 15749 215429982 24981 25521212 25521212 0 2936268 2462163 3.306984 14 14 114688 75439 10 21 0.486709 8 65536 44099 7 57344 36811 1 8192 7288 0 0 0
1709847154683631 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 22 22 14 0 0 0 799379 833827 0 832137 559639 15821 222624574 25105 32236046 25521212 0 2936268 2462163 3.152294 14 14 114688 75439 10 21 0.501328 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709847163031059 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 24 24 16 0 0 0 800555 1435276 0 1433427 731359 16005 230275296 26170 34682900 34682900 0 3203202 2710093 2.522265 12 12 98304 66182 8 21 0.507305 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709847723959214 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 24 24 16 0 0 0 800666 1436933 0 1433427 736223 54409 791116566 58959 643327004 34682900 0 3203202 2710093 2.520272 10 10 81920 56260 3 21 0.512821 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709847729105901 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 25 25 17 0 0 0 801059 1509641 0 1506062 744346 54483 796188071 60691 643327004 643327004 0 3336669 12516495 6.542933 10 10 81920 56260 3 21 0.511827 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709847950830810 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 25 25 17 0 0 0 801104 1510427 0 1506062 745948 66565 1017866210 72808 1474786918 643327004 0 3336669 12516495 6.540581 169 169 1384448 954622 5352 1229 0.512821 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709847956130203 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 26 26 18 0 0 0 801507 1726154 0 1721716 765794 66663 1022948467 73403 1474786918 1474786918 0 3470136 22391877 9.757613 169 169 1384448 954622 5352 1632 0.511601 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709847963278626 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 26 26 18 0 0 0 801512 1726190 0 1721716 766131 66775 1030090299 73595 2370362452 1474786918 0 3470136 22391877 9.757455 357 357 2924544 1995412 2644 1683 0.512607 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709847970620983 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 28 28 20 0 0 0 802874 2090128 0 2085498 778068 66917 1037058195 76364 2372234727 2372234727 0 3737070 32461634 11.932855 525 525 4300800 2913889 2382 1809 0.511118 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709848182069275 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 28 28 20 0 0 0 802918 2090695 0 2085498 779589 77909 1248473442 89289 3432582738 2372234727 0 3737070 32461634 11.930336 517 517 4235264 2851281 26 1480 0.512821 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709848187138233 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 29 29 21 0 0 0 803436 2126353 0 2121070 786381 78020 1253505117 89981 3432582738 3432582738 0 3870537 42356323 15.047285 517 517 4235264 2851281 26 1339 0.511601 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709848225684727 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 29 29 21 0 0 0 803442 2126465 0 2121070 786814 81709 1292025189 92580 3707123063 3432582738 0 3870537 42356323 15.046679 737 737 6037504 4077611 15250 2696 0.512813 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709848232176816 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 32 32 24 0 0 0 805139 2497592 0 2491934 845684 81905 1298084112 93649 3712948613 3711468183 0 4270938 52560970 16.410398 721 721 5906432 3929482 14 3585 0.509735 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709848238381009 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 35 35 27 0 0 0 806775 2730277 0 2724366 904573 82101 1303993848 94654 3718619041 3716875611 0 4671339 53070469 15.568581 655 655 5365760 3504175 12 2924 0.508220 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709848245286006 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 37 37 29 0 0 0 808118 2885878 0 2879651 944138 82266 1310720929 95441 3720182628 3720182628 0 4938271 53357423 15.050126 617 617 5054464 3267038 10 2510 0.509449 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709848626049954 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 37 37 29 0 0 0 808199 2887030 0 2879651 947386 106001 1691425407 117784 4622157683 3720182628 0 4938271 53357423 15.045104 600 600 4915200 3162269 9 1672 0.512821 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709848634613063 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 40 40 32 0 0 0 809984 2924848 0 2917174 972017 106233 1699930581 119265 4625560088 4625560088 0 5338672 63493054 17.575904 732 732 5996544 3892989 33 2060 0.510355 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709849051438072 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 40 40 32 0 0 0 810069 2926208 0 2917174 975597 131676 2116693059 144443 5711397475 4625560088 0 5338672 63493054 17.569107 727 727 5955584 3882158 37 1382 0.512821 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709849058122796 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 44 44 36 0 0 0 812372 3126946 0 3117493 1016918 131988 2123131237 146442 5717695827 5715734748 0 5872540 73742315 19.274058 853 853 6987776 4518878 15 1384 0.508418 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709849063176184 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 45 45 37 0 0 0 812945 3149954 0 3140407 1022972 132081 2128160306 146790 5717695827 5717695827 0 6006007 73891957 19.227499 847 847 6938624 4476466 27 1253 0.509664 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709849356588159 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 45 45 37 0 0 0 812987 3151039 0 3140407 1025424 151696 2421523342 165360 6892143847 5717695827 0 6006007 73891957 19.222032 840 840 6881280 4429502 37 934 0.512821 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709849363393074 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 47 47 39 0 0 0 814010 3175790 0 3164992 1038744 151838 2428294578 166250 6893854741 6893854741 0 6272941 83964732 21.569340 1005 1005 8232960 5315789 22578 1935 0.510792 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709849750655446 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 47 47 39 0 0 0 814088 3176981 0 3164992 1041761 180609 2815473689 193332 9514876288 6893854741 0 6272941 83964732 21.562481 999 999 8183808 5299337 41 1300 0.512821 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709849756584195 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 48 48 40 0 0 0 814735 4008140 0 3996044 1064346 180697 2820569493 194010 9514876288 9514876288 0 6406408 93983505 19.851081 999 999 8183808 5299337 41 1179 0.511601 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709850260366769 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 48 48 40 0 0 0 814847 4010033 0 3996044 1068856 224277 3324181000 220766 12616208139 9514876288 0 6406408 93983505 19.842832 1213 1213 9936896 6436694 2778 1773 0.512821 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709850265408775 8 0 1 7 8 8 0 0 0 0 0 0 0 7 7 0 49 49 42 0 0 0 815572 4821879 0 5179848 1268751 224362 3327930135 221928 12619331972 12619331972 0 6539875 104338918 18.757104 1213 1213 9936896 6436694 2778 1872 0.511324 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709850270415270 8 0 0 8 8 8 0 0 0 0 0 0 0 8 7 0 50 50 42 0 0 0 816184 5194158 0 5179848 1268780 224465 3332935301 222337 12619331972 12619331972 0 6673342 104338918 17.614562 1347 1347 11034624 7212857 2033 1889 0.510740 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709850279589750 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 50 50 42 0 0 0 816186 5194190 0 5179848 1268925 224543 3342030046 222586 12632884869 12619331972 0 6673342 104338918 17.614462 1208 1208 9895936 6524150 3 1795 0.512147 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709850329655034 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 51 51 43 0 0 0 816604 5573304 0 5558733 1356225 228048 3391691667 227545 13604144317 12632884869 0 6806809 104705657 16.642896 1102 1102 9027584 6000032 14 1541 0.512807 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709850335940288 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 55 55 47 0 0 0 818881 5611610 0 5596618 1383639 228385 3397907723 229317 13610248955 13608795589 0 7340677 115032273 18.148527 1173 1173 9609216 6420365 45 2028 0.508416 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709850340980586 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 56 56 48 0 0 0 819275 5618310 0 5603247 1390174 228462 3402940383 229596 13610248955 13610248955 0 7474144 115165831 18.168085 1169 1169 9576448 6408732 32 1835 0.509663 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709850612764077 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 56 56 48 0 0 0 819341 5619343 0 5603247 1392650 247769 3674663842 246599 15982713010 13610248955 0 7474144 115165831 18.164984 1165 1165 9543680 6396603 35 1360 0.512821 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709850619600373 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 58 58 50 0 0 0 820445 5835860 0 5819577 1431775 247945 3681261399 247747 15984128606 15984128606 0 7741078 125241594 19.052937 1334 1334 10928128 7299785 8018 1572 0.511169 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
1709850945793694 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 58 58 50 0 0 0 820513 5837096 0 5819577 1434371 267944 4007404648 266628 16593940589 15984128606 0 7741078 125241594 19.049205 1329 1329 10887168 7265264 12 1161 0.512821 8 65536 44099 8 65536 44099 1 8192 7288 0 0 0
